Bericht;Bereich;Modell;Groesse;Run;Szenariotyp;Phase;Schrittart;Aufgabe;Status;Dauer [s];SLM-Zeit [s];Prompt-Tokens;Output-Tokens;Tokens gesamt;Formatreparaturen;Modellneustarts;Abbrueche;Timeouts;Abbruchgrund;Fehlerart;Neustart;Timeout
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_attempt_aborted;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_service_restart_finished;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;OK;2.298134199998458;;;;;;;;;;;;120.0
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_attempt_aborted;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_service_restart_finished;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;OK;2.227151799997955;;;;;;;;;;;;120.0
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;format_repair:intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2:attempt:1;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->BPM_gut_S2.2;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->TRM_gut_S2.2;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->PM_gut_S2.2;;;;;;;;;;;;;;
10;Intermodellbeziehungen;Qwen3.5;9B;1;controlled;2;slm_attempt_aborted;intermodel:controlled_phase2:GM_gut_S2.2->PM_gut_S2.2;;;;;;;;;1;;thinking_repetition;SLMRepetitionError;True;
